"","bird_year","ID","UTM.X.1","UTM.Y.1","Ano","Encontrado","speciesOri","speciesComp","UTC_date","TERRITORY","Year","UTM_X","UTM_Y","Tree","atck_distance","juliano","Naci","dias_desde","Destruction","location"
"1","ADVH_2021","DES.A-21.07.19-VL-1",528328,4703698,2021,"SI","VL","VL","19/07/2021","Adevesa",2021,528116,4703915,"P.pinaster",303.3694118,199,167,32,"Destroyed","Subterranean"
"2","ADVH_2021","ADV.H-21.07.26-VL-1",529965,4703535,2021,"SI","VL","VL","26/07/2021","Adevesa",2021,528116,4703915,"P.pinaster",1887.644299,206,167,39,"Destroyed","Subterranean"
"3","ADVH_2021","ADV.H_21.08.02_VL_1.1",529906,4703724,2021,"NO","VL","VL","02/08/2021","Adevesa",2021,528116,4703915,"P.pinaster",1800.161382,213,167,46,NA,""
"4","ADVH_2021","ADV.H-21.08.15-NP-1",525719,4703857,2021,"SI","NP","VL","15/08/2021","Adevesa",2021,528116,4703915,"P.pinaster",2397.701608,226,167,59,"Destroyed","Subterranean"
"5","ADVH_2021","ADV.H_21.08.05_VL_1.1",530358,4703191,2021,"NO","VL","VL","05/08/2021","Adevesa",2021,528116,4703915,"P.pinaster",2356.000849,216,167,49,NA,""
"6","ADVH_2021","ADV.H_21.08.07_VL_1.1",527249,4703894,2021,"NO","VL","VL","07/08/2021","Adevesa",2021,528116,4703915,"P.pinaster",867.254288,218,167,51,NA,""
"7","ADVH_2021","ADV.H-21.08.08-NS-1",529221,4704503,2021,"SI","NS","VL","08/08/2021","Adevesa",2021,528116,4703915,"P.pinaster",1251.706435,219,167,52,"Destroyed","Subterranean"
"8","ADVH_2021","ADV.H_21.08.10_VL_1",530333,4703471,2021,"NO","VL","VL","10/08/2021","Adevesa",2021,528116,4703915,"P.pinaster",2261.022999,221,167,54,NA,""
"9","ADVH_2021","ADV.H-21.08.03-VL-1.1",529803,4704071,2021,"SI","VL","VL","03/08/2021","Adevesa",2021,528116,4703915,"P.pinaster",1694.19745,214,167,47,"Destroyed","Subterranean"
"10","BUEM_2022","BUE.M-22.08.03-VL-1",518255,4695963,2022,"SI","VL","VL","03/08/2022","Buezas",2022,517104,4696552,"E.globulus",1292.950888,214,170,44,"Destroyed","Subterranean"
"11","BUEM_2022","BUE.M-22.08.05-VL-1",518372,4696136,2022,"SI","VL","VL","05/08/2022","Buezas",2022,517104,4696552,"E.globulus",1334.49616,216,170,46,"Destroyed","Subterranean"
"12","BUEM_2022","BUE.M-22.07.10-VL-1.1",517881.984,4695527.979,2022,"NO","VL","VL","10/07/2022","Buezas",2022,517104,4696552,"E.globulus",1286.031925,190,170,20,NA,""
"13","BUEM_2022","BUE.M-22.07.13-VL-1",516753.994,4697238.052,2022,"NO","VL","VL","13/07/2022","Buezas",2022,517104,4696552,"E.globulus",770.1763089,193,170,23,NA,""
"14","BUEM_2022","BUE.M-22.07.11-VL-1",518070.993,4695557.002,2022,"NO","VL","VL","11/07/2022","Buezas",2022,517104,4696552,"E.globulus",1387.478462,191,170,21,NA,""
