"","ID","AVE","DISTANCIA","HubDist","TAMAÑO","Año","Territorio","densHA"
"1","riotruchas 1000 N","Abejero",1000,55.9664949,"Playa","2021","riotruchas",1.01623444296066
"2","riotruchas 500 NE","Abejero",500,107.4162984,"Playa","2021","riotruchas",0.275873358832674
"3","riotruchas 0 nido","Abejero",0,143.5964623,"Mayor","2021","riotruchas",0.154369908285969
"4","riotruchas 1000 SO","Abejero",1000,52.79162075,"Baloncesto","2021","riotruchas",1.14214209018593
"5","riotruchas 1000 SE","Abejero",1000,165.9817498,"Baloncesto","2021","riotruchas",0.115539224967018
"6","riotruchas 500 S","Abejero",500,62.64772955,"Baloncesto","2021","riotruchas",0.811034735930364
"7","riotruchas 500 NO","Abejero",500,68.90834068,"Enorme","2021","riotruchas",0.670357608482819
"8","pasarin 1000 O","Azor",1000,43.39775556,"Playa","2021","pasarin",1.69011240237336
"9","pasarin 500 SO","Azor",500,216.2334461,"Playa","2021","pasarin",0.0680776236909078
"10","pasarin 1000 S","Azor",1000,959.7865409,NA,"2021","pasarin",0.00345541979028393
"11","pasarin 0 nido","Azor",0,101.1746372,"Enorme","2021","pasarin",0.310961638386042
"12","pasarin 500 NO","Azor",500,42.07425585,"Baloncesto","2021","pasarin",1.79811407374677
"13","pasarin 500 N","Azor",500,435.7294472,NA,"2021","pasarin",0.0167654920868681
"14","pasarin 1000 E","Azor",1000,270.180043,"Futbol","2021","pasarin",0.0436057333132219
"16","embudo 500 E","Abejero",500,84.20157599,"Baloncesto","2021","embudo",0.448962106348724
"17","embudo 500 S","Abejero",500,36.08213542,"Playa","2021","embudo",2.44492568515151
"18","embudo 1000 SO","Abejero",1000,144.0780922,"Enorme","2021","embudo",0.153339565730667
"19","embudo 0 nido","Abejero",0,404.9338992,"Playa","2021","embudo",0.0194125173308228
"20","embudo 500 O","Abejero",500,99.33297754,"Enorme","2021","embudo",0.322599150717974
"21","embudo 1000 N","Abejero",1000,532.5289343,"Enorme","2021","embudo",0.0112244148092924
"22","cabada.m 1000 SO","Azor",1000,324.2546506,NA,"2021","cabada",0.0302745502442579
"23","cabada.m 1000 N","Azor",1000,362.2924273,"Playa","2021","cabada",0.0242511096044576
"24","cabada.m 500 NO","Azor",500,97.11601796,"Enorme","2021","cabada",0.337495816486047
"25","cabada.m 500 NE","Azor",500,492.4662365,NA,"2021","cabada",0.0131249363539698
"26","cabada.m 0 nido","Azor",0,87.31127398,"Playa","2021","cabada",0.417550950831617
"27","cabada.m 500 S","Azor",500,467.9041637,NA,"2021","cabada",0.014539059291644
"28","cabada.m 1000 SE","Azor",1000,920.8208243,NA,"2021","cabada",0.00375404835841794
"29","cavada.s 1000 S","Azor",1000,195.2348552,"Futbol","2021","cavada",0.0835094104979243
