"","Ave","Nombre_Nido","Distancia_Trampa","Fecha Instalacion","Orientacion Trampa","Horas totales de exposicion","Vespa velutina","Vespula vulgaris","Vespula germanica","Vespula","Periodo","TCVL","TCVP","TCV","Ano"
"1","Abejero","A Grela",0,"2020-07-18","Nido",155.91667,8,32,0,32,"2",0.0513094601817211,0.205237840726884,0.256547300908605,2020
"2","Abejero","A Grela",500,"2020-07-18","N",155.33333,7,16,0,16,"2",0.0450643776824034,0.103004291845493,0.148068669527897,2020
"3","Abejero","A Grela",500,"2020-07-18","SE",156.16667,21,11,0,11,"2",0.134471718249733,0.0704375667022411,0.204909284951974,2020
"4","Abejero","A Grela",500,"2020-07-18","SO",154.66667,27,32,1,33,"2",0.174568965517241,0.213362068965517,0.387931034482758,2020
"5","Abejero","A Grela",1000,"2020-07-18","NE",157.16667,40,1,0,1,"2",0.254506892895016,0.00636267232237539,0.260869565217391,2020
"6","Abejero","A Grela",1000,"2020-07-18","NO",162.00000,12,57,1,58,"2",0.0740740740740741,0.358024691358025,0.432098765432099,2020
"7","Abejero","A Grela",1000,"2020-07-18","S",156.66667,35,6,0,6,"2",0.223404255319149,0.0382978723404256,0.261702127659575,2020
"8","Abejero","Matadero",0,"2020-07-18","Nido",153.43333,42,24,0,24,"2",0.273734520964589,0.156419726265479,0.430154247230068,2020
"9","Abejero","Matadero",500,"2020-07-18","NO",152.25000,60,25,2,27,"2",0.394088669950739,0.177339901477833,0.571428571428571,2020
"10","Abejero","Matadero",500,"2020-07-18","O",163.00000,62,29,0,29,"2",0.38036809815951,0.177914110429448,0.558282208588958,2020
"11","Abejero","Matadero",500,"2020-07-18","SO",152.83333,31,28,0,28,"2",0.202835332606325,0.183206106870229,0.386041439476555,2020
"12","Abejero","Matadero",1000,"2020-07-18","E",153.83333,41,55,0,55,"2",0.266522210184182,0.357529794149512,0.624052004333694,2020
"13","Abejero","Matadero",1000,"2020-07-18","N",162.75000,45,34,0,34,"2",0.276497695852535,0.208909370199693,0.485407066052227,2020
"14","Abejero","Matadero",1000,"2020-07-18","SE",154.16667,19,18,0,18,"2",0.123243243243243,0.116756756756757,0.24,2020
"15","Abejero","Navalexo",0,"2020-07-18","Nido",160.33333,39,45,0,45,"2",0.243243243243244,0.280665280665281,0.523908523908525,2020
"16","Abejero","Navalexo",500,"2020-07-18","N",160.83333,21,57,0,57,"2",0.130569948186529,0.35440414507772,0.484974093264249,2020
"17","Abejero","Navalexo",500,"2020-07-18","SE",160.00000,42,77,0,77,"2",0.2625,0.481250000000001,0.743750000000001,2020
"18","Abejero","Navalexo",500,"2020-07-18","SO",161.10000,34,78,0,78,"2",0.21104903786468,0.484171322160149,0.695220360024829,2020
"19","Abejero","Navalexo",1000,"2020-07-18","NE",157.83333,14,28,0,28,"2",0.08870116156283,0.17740232312566,0.26610348468849,2020
"20","Abejero","Navalexo",1000,"2020-07-18","NO",161.66667,10,26,0,26,"2",0.0618556701030928,0.160824742268041,0.222680412371134,2020
"21","Abejero","Navalexo",1000,"2020-07-18","S",157.50000,16,7,0,7,"2",0.101587301587302,0.0444444444444444,0.146031746031746,2020
"22","Abejero","Pedragrande",0,"2020-07-20","Nido",153.83333,31,53,0,53,"2",0.201516793066089,0.344528710725893,0.546045503791982,2020
"23","Abejero","Pedragrande",500,"2020-07-20","N",154.33333,48,142,0,142,"2",0.311015118790497,0.920086393088555,1.23110151187905,2020
"24","Abejero","Pedragrande",500,"2020-07-20","NO",153.16667,66,67,0,67,"2",0.430903155603916,0.437431991294885,0.868335146898801,2020
"25","Abejero","Pedragrande",500,"2020-07-20","SE",155.25000,29,36,0,36,"2",0.186795491143317,0.231884057971014,0.418679549114332,2020
"26","Abejero","Pedragrande",1000,"2020-07-20","NE",155.75000,19,20,0,20,"2",0.12199036918138,0.128410914927769,0.250401284109149,2020
"27","Abejero","Pedragrande",1000,"2020-07-20","NO",152.66667,37,33,0,33,"2",0.24235807860262,0.216157205240175,0.458515283842795,2020
"28","Abejero","Pedragrande",1000,"2020-07-20","S",154.83333,32,52,0,52,"2",0.206673842841765,0.335844994617869,0.542518837459634,2020
"29","Abejero","Picon Bajo",0,"2020-07-23","Nido",154.41667,32,23,0,23,"2",0.207231516459795,0.148947652455478,0.356179168915273,2020
"30","Abejero","Picon Bajo",500,"2020-07-23","NE",154.41667,27,23,0,23,"2",0.174851592012952,0.148947652455478,0.32379924446843,2020
"31","Abejero","Picon Bajo",500,"2020-07-23","NO",154.63333,28,27,0,27,"2",0.181073507221384,0.174606596249192,0.355680103470575,2020
"32","Abejero","Picon Bajo",500,"2020-07-23","S",154.16667,62,16,8,24,"2",0.402162162162162,0.155675675675676,0.557837837837838,2020
"33","Abejero","Picon Bajo",1000,"2020-07-23","N",154.91667,60,12,0,12,"2",0.387305002689618,0.0774610005379236,0.464766003227541,2020
"34","Abejero","Picon Bajo",1000,"2020-07-23","SE",152.36667,75,17,1,18,"2",0.492233646904398,0.118136075257056,0.610369722161454,2020
"35","Abejero","Picon Bajo",1000,"2020-07-23","SO",152.83333,92,9,0,9,"2",0.601962922573611,0.058887677208288,0.660850599781899,2020
"36","Abejero","San Cosme",0,"2020-07-20","Nido",152.86667,19,21,0,21,"2",0.124291321412996,0.137374618403838,0.261665939816834,2020
"37","Abejero","San Cosme",500,"2020-07-20","NE",155.00000,71,47,0,47,"2",0.458064516129032,0.303225806451612,0.761290322580644,2020
"38","Abejero","San Cosme",500,"2020-07-20","NO",154.16667,30,11,0,11,"2",0.194594594594594,0.0713513513513513,0.265945945945946,2020
"39","Abejero","San Cosme",500,"2020-07-20","S",155.30000,33,36,0,36,"2",0.21249195106246,0.231809401159047,0.444301352221507,2020
"40","Abejero","San Cosme",1000,"2020-07-20","N",154.56667,14,8,0,8,"2",0.090575803321113,0.0517576018977788,0.142333405218892,2020
"41","Abejero","San Cosme",1000,"2020-07-20","SE",155.73333,49,41,1,42,"2",0.314640410958905,0.269691780821918,0.584332191780823,2020
"42","Abejero","San Cosme",1000,"2020-07-20","SO",153.68333,35,11,0,11,"2",0.227741025919097,0.0715757510031449,0.299316776922242,2020
"43","Abejero","A Grela",0,"2020-08-13","Nido",205.25000,25,18,0,18,"3",0.121802679658952,0.0876979293544457,0.209500609013398,2020
"44","Abejero","A Grela",500,"2020-08-13","N",205.50000,22,16,0,16,"3",0.10705596107056,0.0778588807785888,0.184914841849148,2020
"45","Abejero","A Grela",500,"2020-08-13","SE",206.08333,44,8,0,8,"3",0.213505863323898,0.0388192478770724,0.252325111200971,2020
"46","Abejero","A Grela",500,"2020-08-13","SO",205.00000,42,17,1,18,"3",0.204878048780488,0.0878048780487806,0.292682926829269,2020
"47","Abejero","A Grela",1000,"2020-08-13","NE",206.50000,91,6,3,9,"3",0.440677966101695,0.0435835351089589,0.484261501210654,2020
"48","Abejero","A Grela",1000,"2020-08-13","NO",210.08333,28,51,1,52,"3",0.133280444268147,0.247520825069417,0.380801269337564,2020
"49","Abejero","A Grela",1000,"2020-08-13","S",206.33333,51,16,0,16,"3",0.247172859450727,0.0775444264943457,0.324717285945072,2020
"50","Abejero","Matadero",0,"2020-08-13","Nido",204.08333,22,6,1,7,"3",0.107799101674153,0.0342997141690486,0.142098815843201,2020
"51","Abejero","Matadero",500,"2020-08-13","NO",203.75000,40,20,0,20,"3",0.196319018404908,0.0981595092024539,0.294478527607362,2020
"52","Abejero","Matadero",500,"2020-08-13","O",210.91667,67,5,2,7,"3",0.317661003555906,0.0331884630580798,0.350849466613986,2020
"53","Abejero","Matadero",500,"2020-08-13","SO",204.00000,18,20,0,20,"3",0.0882352941176471,0.0980392156862745,0.186274509803922,2020
